,encontrado,qtd_comparacoes,id_localizado,n_buscado,vetor,salto,tempo
53,True,5,14,593,"[10, 133, 147, 161, 166, 188, 238, 247, 282, 336, 338, 400, 466, 553, 593, 627, 658, 698, 738, 795, 893, 902, 977]",13,0.009706974029541016
54,True,6,14,593,"[10, 133, 147, 161, 166, 188, 238, 247, 282, 336, 338, 400, 466, 553, 593, 627, 658, 698, 738, 795, 893, 902, 977]",14,0.010571002960205078
55,True,1,14,593,"[10, 133, 147, 161, 166, 188, 238, 247, 282, 336, 338, 400, 466, 553, 593, 627, 658, 698, 738, 795, 893, 902, 977]",15,0.01156306266784668
56,True,15,14,593,"[10, 133, 147, 161, 166, 188, 238, 247, 282, 336, 338, 400, 466, 553, 593, 627, 658, 698, 738, 795, 893, 902, 977]",16,0.014723062515258789
57,True,15,14,593,"[10, 133, 147, 161, 166, 188, 238, 247, 282, 336, 338, 400, 466, 553, 593, 627, 658, 698, 738, 795, 893, 902, 977]",17,0.015666961669921875
58,True,15,14,593,"[10, 133, 147, 161, 166, 188, 238, 247, 282, 336, 338, 400, 466, 553, 593, 627, 658, 698, 738, 795, 893, 902, 977]",18,0.016635894775390625
59,True,15,14,593,"[10, 133, 147, 161, 166, 188, 238, 247, 282, 336, 338, 400, 466, 553, 593, 627, 658, 698, 738, 795, 893, 902, 977]",19,0.017760038375854492
60,True,15,14,593,"[10, 133, 147, 161, 166, 188, 238, 247, 282, 336, 338, 400, 466, 553, 593, 627, 658, 698, 738, 795, 893, 902, 977]",20,0.01853489875793457
61,True,15,14,593,"[10, 133, 147, 161, 166, 188, 238, 247, 282, 336, 338, 400, 466, 553, 593, 627, 658, 698, 738, 795, 893, 902, 977]",21,0.019210100173950195
62,True,15,14,593,"[10, 133, 147, 161, 166, 188, 238, 247, 282, 336, 338, 400, 466, 553, 593, 627, 658, 698, 738, 795, 893, 902, 977]",22,0.019843101501464844
63,True,7,6,255,"[64, 67, 96, 104, 161, 216, 255, 301, 323, 386, 439, 442, 457, 482, 530, 579, 622, 756, 788, 846, 853, 894, 936, 968]",1,0.0008869171142578125
64,True,5,6,255,"[64, 67, 96, 104, 161, 216, 255, 301, 323, 386, 439, 442, 457, 482, 530, 579, 622, 756, 788, 846, 853, 894, 936, 968]",2,0.002218961715698242
65,True,4,6,255,"[64, 67, 96, 104, 161, 216, 255, 301, 323, 386, 439, 442, 457, 482, 530, 579, 622, 756, 788, 846, 853, 894, 936, 968]",3,0.002892017364501953
66,True,5,6,255,"[64, 67, 96, 104, 161, 216, 255, 301, 323, 386, 439, 442, 457, 482, 530, 579, 622, 756, 788, 846, 853, 894, 936, 968]",4,0.0035047531127929688
67,True,4,6,255,"[64, 67, 96, 104, 161, 216, 255, 301, 323, 386, 439, 442, 457, 482, 530, 579, 622, 756, 788, 846, 853, 894, 936, 968]",5,0.004109621047973633
68,True,3,6,255,"[64, 67, 96, 104, 161, 216, 255, 301, 323, 386, 439, 442, 457, 482, 530, 579, 622, 756, 788, 846, 853, 894, 936, 968]",6,0.00469660758972168
69,True,1,6,255,"[64, 67, 96, 104, 161, 216, 255, 301, 323, 386, 439, 442, 457, 482, 530, 579, 622, 756, 788, 846, 853, 894, 936, 968]",7,0.00528264045715332
70,True,7,6,255,"[64, 67, 96, 104, 161, 216, 255, 301, 323, 386, 439, 442, 457, 482, 530, 579, 622, 756, 788, 846, 853, 894, 936, 968]",8,0.005868673324584961
71,True,7,6,255,"[64, 67, 96, 104, 161, 216, 255, 301, 323, 386, 439, 442, 457, 482, 530, 579, 622, 756, 788, 846, 853, 894, 936, 968]",9,0.00646662712097168
72,True,7,6,255,"[64, 67, 96, 104, 161, 216, 255, 301, 323, 386, 439, 442, 457, 482, 530, 579, 622, 756, 788, 846, 853, 894, 936, 968]",10,0.007048845291137695
73,True,7,6,255,"[64, 67, 96, 104, 161, 216, 255, 301, 323, 386, 439, 442, 457, 482, 530, 579, 622, 756, 788, 846, 853, 894, 936, 968]",11,0.00878000259399414
74,True,7,6,255,"[64, 67, 96, 104, 161, 216, 255, 301, 323, 386, 439, 442, 457, 482, 530, 579, 622, 756, 788, 846, 853, 894, 936, 968]",12,0.009503841400146484
75,True,7,6,255,"[64, 67, 96, 104, 161, 216, 255, 301, 323, 386, 439, 442, 457, 482, 530, 579, 622, 756, 788, 846, 853, 894, 936, 968]",13,0.01035165786743164
76,True,7,6,255,"[64, 67, 96, 104, 161, 216, 255, 301, 323, 386, 439, 442, 457, 482, 530, 579, 622, 756, 788, 846, 853, 894, 936, 968]",14,0.011191606521606445
77,True,7,6,255,"[64, 67, 96, 104, 161, 216, 255, 301, 323, 386, 439, 442, 457, 482, 530, 579, 622, 756, 788, 846, 853, 894, 936, 968]",15,0.012231826782226562
78,True,7,6,255,"[64, 67, 96, 104, 161, 216, 255, 301, 323, 386, 439, 442, 457, 482, 530, 579, 622, 756, 788, 846, 853, 894, 936, 968]",16,0.013249635696411133
79,True,7,6,255,"[64, 67, 96, 104, 161, 216, 255, 301, 323, 386, 439, 442, 457, 482, 530, 579, 622, 756, 788, 846, 853, 894, 936, 968]",17,0.013933658599853516
80,True,7,6,255,"[64, 67, 96, 104, 161, 216, 255, 301, 323, 386, 439, 442, 457, 482, 530, 579, 622, 756, 788, 846, 853, 894, 936, 968]",18,0.014679670333862305
81,True,7,6,255,"[64, 67, 96, 104, 161, 216, 255, 301, 323, 386, 439, 442, 457, 482, 530, 579, 622, 756, 788, 846, 853, 894, 936, 968]",19,0.015337944030761719
82,True,7,6,255,"[64, 67, 96, 104, 161, 216, 255, 301, 323, 386, 439, 442, 457, 482, 530, 579, 622, 756, 788, 846, 853, 894, 936, 968]",20,0.016071796417236328
83,True,7,6,255,"[64, 67, 96, 104, 161, 216, 255, 301, 323, 386, 439, 442, 457, 482, 530, 579, 622, 756, 788, 846, 853, 894, 936, 968]",21,0.016773700714111328
84,True,7,6,255,"[64, 67, 96, 104, 161, 216, 255, 301, 323, 386, 439, 442, 457, 482, 530, 579, 622, 756, 788, 846, 853, 894, 936, 968]",22,0.017438888549804688
85,True,7,6,255,"[64, 67, 96, 104, 161, 216, 255, 301, 323, 386, 439, 442, 457, 482, 530, 579, 622, 756, 788, 846, 853, 894, 936, 968]",23,0.01807999610900879
86,True,6,5,189,"[19, 25, 47, 97, 112, 189, 228, 253, 274, 301, 344, 424, 447, 479, 507, 553, 598, 604, 662, 779, 794, 809, 826, 910, 976]",1,0.0002529621124267578
87,True,3,5,189,"[19, 25, 47, 97, 112, 189, 228, 253, 274, 301, 344, 424, 447, 479, 507, 553, 598, 604, 662, 779, 794, 809, 826, 910, 976]",2,0.0010619163513183594
88,True,2,5,189,"[19, 25, 47, 97, 112, 189, 228, 253, 274, 301, 344, 424, 447, 479, 507, 553, 598, 604, 662, 779, 794, 809, 826, 910, 976]",3,0.001750946044921875
89,True,4,5,189,"[19, 25, 47, 97, 112, 189, 228, 253, 274, 301, 344, 424, 447, 479, 507, 553, 598, 604, 662, 779, 794, 809, 826, 910, 976]",4,0.0026509761810302734
90,True,3,5,189,"[19, 25, 47, 97, 112, 189, 228, 253, 274, 301, 344, 424, 447, 479, 507, 553, 598, 604, 662, 779, 794, 809, 826, 910, 976]",5,0.0038428306579589844
91,True,1,5,189,"[19, 25, 47, 97, 112, 189, 228, 253, 274, 301, 344, 424, 447, 479, 507, 553, 598, 604, 662, 779, 794, 809, 826, 910, 976]",6,0.004709959030151367
92,True,6,5,189,"[19, 25, 47, 97, 112, 189, 228, 253, 274, 301, 344, 424, 447, 479, 507, 553, 598, 604, 662, 779, 794, 809, 826, 910, 976]",7,0.0054149627685546875
93,True,6,5,189,"[19, 25, 47, 97, 112, 189, 228, 253, 274, 301, 344, 424, 447, 479, 507, 553, 598, 604, 662, 779, 794, 809, 826, 910, 976]",8,0.006112813949584961
94,True,6,5,189,"[19, 25, 47, 97, 112, 189, 228, 253, 274, 301, 344, 424, 447, 479, 507, 553, 598, 604, 662, 779, 794, 809, 826, 910, 976]",9,0.006779909133911133
95,True,6,5,189,"[19, 25, 47, 97, 112, 189, 228, 253, 274, 301, 344, 424, 447, 479, 507, 553, 598, 604, 662, 779, 794, 809, 826, 910, 976]",10,0.0074498653411865234
